id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,trip_duration(sec)
id2377394,1,6/12/2016 0:43,6/12/2016 0:54,1,-73.98041534,40.73856354,-73.9994812,40.73115158,N,663
id3858529,2,1/19/2016 11:35,1/19/2016 12:10,1,-73.97902679,40.7639389,-74.00533295,40.71008682,N,2124
id0801584,2,1/30/2016 22:01,1/30/2016 22:09,6,-73.98285675,40.74219513,-73.99208069,40.74918365,N,443
id1813257,1,6/17/2016 22:34,6/17/2016 22:40,4,-73.96901703,40.7578392,-73.95740509,40.76589584,N,341
id0799785,2,6/1/2016 20:58,6/1/2016 21:02,1,-73.95630646,40.76794052,-73.96611023,40.76300049,N,260
id3552682,1,6/27/2016 9:55,6/27/2016 10:17,1,-74.00398254,40.7130127,-73.97919464,40.74992371,N,1317
id3390316,2,6/5/2016 13:47,6/5/2016 13:51,1,-73.98388672,40.73819733,-73.99120331,40.72787094,N,251
id1603037,1,6/25/2016 10:36,6/25/2016 10:55,1,-73.99355316,40.74717331,-74.00614166,40.70438385,N,1163
id3321406,2,6/3/2016 8:15,6/3/2016 8:56,1,-73.95523071,40.77713394,-73.78874969,40.64147186,N,2485
id2104175,1,6/20/2016 23:07,6/20/2016 23:18,1,-73.95843506,40.71319199,-73.94953918,40.68025208,N,694
id3973319,2,6/13/2016 21:57,6/13/2016 22:12,1,-73.99421692,40.71330643,-73.98284912,40.69229889,N,892
id3970352,1,1/9/2016 12:55,1/9/2016 13:07,1,-74.00899506,40.71258926,-73.99863434,40.72280884,N,707
id1870624,1,1/5/2016 15:29,1/5/2016 15:39,3,-73.9515152,40.77024841,-73.95852661,40.76151657,N,553
id2403238,1,6/23/2016 23:00,6/23/2016 23:04,1,-73.98806763,40.72808075,-73.98075104,40.72146988,N,277
id0718344,2,6/13/2016 15:52,6/13/2016 16:16,1,-74.0163269,40.70499039,-73.98210907,40.77375031,N,1478
id3188770,1,1/3/2016 16:59,1/3/2016 17:04,1,-73.98513794,40.73219299,-73.98963928,40.72087479,N,348
id2067879,2,1/19/2016 23:19,1/19/2016 23:44,1,-73.99681854,40.75286102,-73.80900574,40.81687546,N,1557
id1388344,2,1/2/2016 15:41,1/2/2016 16:01,2,-73.98233795,40.76280975,-73.98285675,40.7487793,N,1228
id1040444,2,1/7/2016 17:01,1/7/2016 17:13,4,-73.9769516,40.75202179,-74.00121307,40.75161362,N,721
id3913101,1,6/25/2016 22:05,6/25/2016 22:22,2,-74.00141144,40.76143265,-73.92462921,40.86402893,N,1003
id3896508,2,6/7/2016 22:32,6/7/2016 22:46,1,-73.86338043,40.76988983,-73.83712769,40.72135925,N,814
id3769871,1,6/17/2016 17:32,6/17/2016 18:11,1,-73.94314575,40.78963089,-73.98947906,40.76276398,N,2337
id1519515,2,6/11/2016 12:52,6/11/2016 13:12,1,-73.95049286,40.77126694,-74.00124359,40.74649048,N,1191
id2934884,2,1/7/2016 19:32,1/7/2016 19:40,1,-73.98638916,40.75661469,-73.99979401,40.76163101,N,520
id1205949,1,6/5/2016 18:43,6/5/2016 18:46,1,-73.96260834,40.75882721,-73.95419312,40.76405334,N,218
id2592310,2,6/13/2016 7:20,6/13/2016 7:24,1,-73.99041748,40.75688171,-73.98197937,40.75999069,N,222
id0883711,1,1/16/2016 21:22,1/16/2016 21:42,1,-73.99363708,40.7342186,-73.96146393,40.76929855,N,1204
